query_event_id,query_junction,query_lat,query_lon,match_rank,match_event_id,match_junction,match_lat,match_lon,match_cause,match_duration_min,dist_km,gower_sim,phi_weight,s_final,within_2km,is_relevant
FKID000008,QueensStatueCircle,12.977181917777775,77.59924659111113,1,FKID000439,QueensStatueCircle,12.977181917777775,77.59924659111113,public_event,67.6,0.0,1.0,1.0,1.0,True,True
FKID000008,QueensStatueCircle,12.977181917777775,77.59924659111113,2,FKID006806,PurnimaTheaterJunc,12.96036127625,77.58765571250001,public_event,67.6,2.2529,0.8788,0.9454,0.8308,False,False
FKID000008,QueensStatueCircle,12.977181917777775,77.59924659111113,3,FKID007451,MinskSquare(CTO Junction),12.9816874725,77.59743405750001,vehicle_breakdown,67.6,0.5381,0.8135,0.9968,0.8109,True,True
FKID000008,QueensStatueCircle,12.977181917777775,77.59924659111113,4,FKID007452,MinskSquare(CTO Junction),12.9816874725,77.59743405750001,vehicle_breakdown,67.6,0.5381,0.8135,0.9968,0.8109,True,True
FKID000008,QueensStatueCircle,12.977181917777775,77.59924659111113,5,FKID007896,PoliceTimmaiahCircle(GPO),12.982200871428573,77.59418355,vehicle_breakdown,67.6,0.7826,0.7996,0.9932,0.7942,True,True
FKID000439,QueensStatueCircle,12.977181917777775,77.59924659111113,1,FKID000008,QueensStatueCircle,12.977181917777775,77.59924659111113,public_event,67.6,0.0,1.0,1.0,1.0,True,True
FKID000439,QueensStatueCircle,12.977181917777775,77.59924659111113,2,FKID006806,PurnimaTheaterJunc,12.96036127625,77.58765571250001,public_event,67.6,2.2529,0.8788,0.9454,0.8308,False,False
FKID000439,QueensStatueCircle,12.977181917777775,77.59924659111113,3,FKID007451,MinskSquare(CTO Junction),12.9816874725,77.59743405750001,vehicle_breakdown,67.6,0.5381,0.8135,0.9968,0.8109,True,True
FKID000439,QueensStatueCircle,12.977181917777775,77.59924659111113,4,FKID007452,MinskSquare(CTO Junction),12.9816874725,77.59743405750001,vehicle_breakdown,67.6,0.5381,0.8135,0.9968,0.8109,True,True
FKID000439,QueensStatueCircle,12.977181917777775,77.59924659111113,5,FKID007896,PoliceTimmaiahCircle(GPO),12.982200871428573,77.59418355,vehicle_breakdown,67.6,0.7826,0.7996,0.9932,0.7942,True,True
FKID005805,BanashankariBusStandJunc,12.916914513846152,77.57278397769231,1,FKID005806,BanashankariBusStandJunc,12.916914513846152,77.57278397769231,public_event,67.6,0.0,1.0,1.0,1.0,True,True
FKID005805,BanashankariBusStandJunc,12.916914513846152,77.57278397769231,2,FKID008054,KanakapuraRd-RingRdJunction,12.905958257777778,77.57323213000001,public_event,67.6,1.2192,0.8788,0.9837,0.8645,True,True
FKID005805,BanashankariBusStandJunc,12.916914513846152,77.57278397769231,3,FKID007405,JP Nagar 9th cross-24th main jn,12.91187576,77.58611252,vehicle_breakdown,67.6,1.5494,0.7819,0.9738,0.7614,True,True
FKID005805,BanashankariBusStandJunc,12.916914513846152,77.57278397769231,4,FKID006210,UttarahalliJunction,12.905854762,77.54496494333333,construction,67.6,3.2563,0.8466,0.8893,0.7529,False,False
FKID005805,BanashankariBusStandJunc,12.916914513846152,77.57278397769231,5,FKID006063,Arbindo Circle,12.91728056,77.585654,vehicle_breakdown,67.6,1.3955,0.689,0.9787,0.6743,True,True
