grid_time_utc,t_hours,zone,split,hour_sin,hour_cos,dow,is_weekend,is_peak,lambda_v,log_lambda_v,count_1h,count_4h,count_24h,burden_1h,burden_4h,hotspot_n_sig,hotspot_max_z,hotspot_mean_burden,zone_mean_fragility,zone_hist_rate,Y_count_3h,Y_bin_3h,Y_count_6h,Y_bin_6h,Y_count_9h,Y_bin_9h
2023-11-01T00:00:00.000000001+00:00,-211.41337611111112,Central Zone 1,train,0.93232,0.361635,2,0,0,0.027409,-3.5969,0,0,0,0.0,0.0,9.0,0.2543368368598545,5.738809523809524,4.276671918690674,0.149397,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01T01:00:00.000000001+00:00,-210.41337611111112,Central Zone 1,train,0.99415,0.10801,2,0,0,0.027409,-3.5969,0,0,0,0.0,0.0,9.0,0.2543368368598545,5.738809523809524,4.276671918690674,0.149397,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01T02:00:00.000000001+00:00,-209.41337611111112,Central Zone 1,train,0.98823,-0.152975,2,0,0,0.027409,-3.5969,0,0,0,0.0,0.0,9.0,0.2543368368598545,5.738809523809524,4.276671918690674,0.149397,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01T03:00:00.000000001+00:00,-208.41337611111112,Central Zone 1,train,0.914964,-0.403535,2,0,1,0.027409,-3.5969,0,0,0,0.0,0.0,9.0,0.2543368368598545,5.738809523809524,4.276671918690674,0.149397,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01T04:00:00.000000001+00:00,-207.41337611111112,Central Zone 1,train,0.779345,-0.626595,2,0,1,0.027409,-3.5969,0,0,0,0.0,0.0,9.0,0.2543368368598545,5.738809523809524,4.276671918690674,0.149397,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01T05:00:00.000000001+00:00,-206.41337611111112,Central Zone 1,train,0.590615,-0.806954,2,0,1,0.027409,-3.5969,0,0,0,0.0,0.0,9.0,0.2543368368598545,5.738809523809524,4.276671918690674,0.149397,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01T06:00:00.000000001+00:00,-205.41337611111112,Central Zone 1,train,0.361635,-0.93232,2,0,0,0.027409,-3.5969,0,0,0,0.0,0.0,9.0,0.2543368368598545,5.738809523809524,4.276671918690674,0.149397,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01T07:00:00.000000001+00:00,-204.41337611111112,Central Zone 1,train,0.10801,-0.99415,2,0,0,0.027409,-3.5969,0,0,0,0.0,0.0,9.0,0.2543368368598545,5.738809523809524,4.276671918690674,0.149397,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01T08:00:00.000000001+00:00,-203.41337611111112,Central Zone 1,train,-0.152975,-0.98823,2,0,0,0.027409,-3.5969,0,0,0,0.0,0.0,9.0,0.2543368368598545,5.738809523809524,4.276671918690674,0.149397,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01T09:00:00.000000001+00:00,-202.41337611111112,Central Zone 1,train,-0.403535,-0.914964,2,0,0,0.027409,-3.5969,0,0,0,0.0,0.0,9.0,0.2543368368598545,5.738809523809524,4.276671918690674,0.149397,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01T10:00:00.000000001+00:00,-201.41337611111112,Central Zone 1,train,-0.626595,-0.779345,2,0,0,0.027409,-3.5969,0,0,0,0.0,0.0,9.0,0.2543368368598545,5.738809523809524,4.276671918690674,0.149397,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01T11:00:00.000000001+00:00,-200.41337611111112,Central Zone 1,train,-0.806954,-0.590615,2,0,0,0.027409,-3.5969,0,0,0,0.0,0.0,9.0,0.2543368368598545,5.738809523809524,4.276671918690674,0.149397,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01T12:00:00.000000001+00:00,-199.41337611111112,Central Zone 1,train,-0.93232,-0.361635,2,0,0,0.027409,-3.5969,0,0,0,0.0,0.0,9.0,0.2543368368598545,5.738809523809524,4.276671918690674,0.149397,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01T13:00:00.000000001+00:00,-198.41337611111112,Central Zone 1,train,-0.99415,-0.10801,2,0,1,0.027409,-3.5969,0,0,0,0.0,0.0,9.0,0.2543368368598545,5.738809523809524,4.276671918690674,0.149397,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01T14:00:00.000000001+00:00,-197.41337611111112,Central Zone 1,train,-0.98823,0.152975,2,0,1,0.027409,-3.5969,0,0,0,0.0,0.0,9.0,0.2543368368598545,5.738809523809524,4.276671918690674,0.149397,0.0,0.0,0.0,0.0,0.0,0.0
