event_id,rank,feature,shap_value
FKID003554,1,corridor_enc,40.23397851202502
FKID003554,2,hour_cos,31.528397269883552
FKID003554,3,cause_enc,22.85977844113313
FKID007666,1,closure_int,108.74665327814894
FKID007666,2,corridor_enc,59.35245567873607
FKID007666,3,hour_cos,18.159893467916664
FKID005448,1,hour_cos,28.957249798937905
FKID005448,2,cause_enc,20.9612822030315
FKID005448,3,corridor_enc,15.384558612001747
FKID003783,1,hour_cos,32.23980852700544
FKID003783,2,cause_enc,24.8408271422994
FKID003783,3,corridor_enc,13.311883431313356
FKID003637,1,corridor_enc,63.055358811412525
FKID003637,2,hour_cos,26.82623523863283
FKID003637,3,hour_sin,-13.190589465799778
FKID006316,1,hotspot_z,24.945869389634765
FKID006316,2,hour_cos,23.815173996634858
FKID006316,3,corridor_enc,16.451685421458677
FKID001250,1,corridor_enc,-93.83161565279411
FKID001250,2,hour_cos,32.8012809411862
FKID001250,3,cause_enc,13.299703687603868
FKID002657,1,corridor_enc,35.73078178600336
FKID002657,2,hour_cos,22.63162238475562
FKID002657,3,cause_enc,17.414994284770046
FKID001336,1,hour_cos,30.276284750042244
FKID001336,2,cause_enc,23.958134482491545
FKID001336,3,hotspot_z,-13.63683757310663
FKID005792,1,cause_enc,-133.48521689683736
FKID005792,2,hour_cos,-32.319353133456325
FKID005792,3,hotspot_z,20.39554821675366
FKID001470,1,hour_cos,32.08589552605845
FKID001470,2,cause_enc,22.63874348832678
FKID001470,3,hour_sin,-22.174292561184547
FKID004034,1,cause_enc,19.752024107475552
FKID004034,2,corridor_enc,13.49213354738815
FKID004034,3,hour_cos,12.755389288341972
FKID003488,1,cause_enc,-266.7044903642039
FKID003488,2,hour_sin,47.82533465775922
FKID003488,3,hotspot_intensity,-21.078512307648392
FKID006659,1,corridor_enc,-115.96248209149543
FKID006659,2,hour_cos,-28.074055190226044
FKID006659,3,hotspot_z,19.067068650626254
FKID003015,1,corridor_enc,-84.01896505446983
FKID003015,2,hour_cos,33.19302107988964
FKID003015,3,hotspot_z,-12.016052851729267
FKID005622,1,cause_enc,-313.4973472218667
FKID005622,2,hour_cos,-36.735838611520975
FKID005622,3,hotspot_intensity,-23.957215583884366
FKID008162,1,hotspot_z,-79.9804636972416
FKID008162,2,hour_cos,17.0799121166292
FKID008162,3,corridor_enc,14.166509798832083
FKID001621,1,cause_enc,21.228814943503284
FKID001621,2,hour_cos,13.22230820388173
FKID001621,3,corridor_enc,12.372812724946955
FKID007193,1,hour_cos,39.60058889477703
FKID007193,2,hotspot_z,35.54876022449146
FKID007193,3,corridor_enc,22.591881494062502
FKID007872,1,corridor_enc,63.42090601966209
FKID007872,2,hour_cos,-51.0656250797255
FKID007872,3,hotspot_z,21.634271201764367
FKID001840,1,cause_enc,245.89931444331557
FKID001840,2,closure_int,180.96075160324287
FKID001840,3,hour_cos,39.559552011108835
FKID008133,1,hour_cos,37.68886074495685
FKID008133,2,hotspot_z,24.75205790631781
FKID008133,3,hotspot_intensity,22.055506559991358
FKID007247,1,hour_cos,38.01359270382915
FKID007247,2,hotspot_z,24.302062905756813
FKID007247,3,hotspot_intensity,22.066261959629156
FKID001033,1,corridor_enc,21.96523028160736
FKID001033,2,cause_enc,11.949756612622101
FKID001033,3,hotspot_z,-10.696828107392555
FKID001305,1,corridor_enc,-93.19670956309928
FKID001305,2,hour_cos,-21.536746017447445
FKID001305,3,hotspot_z,-10.30349162718208
FKID006789,1,hour_cos,-60.50428684040172
FKID006789,2,hotspot_z,33.393104646683874
FKID006789,3,hotspot_intensity,30.961866347529014
FKID006472,1,corridor_enc,37.92872266922048
FKID006472,2,hour_cos,34.56992355640859
FKID006472,3,hotspot_intensity,19.98027535912401
FKID001535,1,cause_enc,117.25079478356054
FKID001535,2,hour_cos,-57.25464968601596
FKID001535,3,corridor_enc,-44.239989437960446
FKID006164,1,hour_cos,-18.60824054476145
FKID006164,2,hotspot_z,15.077605238941596
FKID006164,3,corridor_enc,13.430399004922782
FKID001138,1,corridor_enc,-91.36743451609084
FKID001138,2,hour_cos,-53.69469015419938
FKID001138,3,hotspot_z,-11.38144685369237
FKID001958,1,corridor_enc,40.499592033719566
FKID001958,2,hour_cos,30.374420461218854
FKID001958,3,cause_enc,20.33006884275552
FKID004484,1,corridor_enc,-100.35408707263797
FKID004484,2,hour_cos,29.616217497759173
FKID004484,3,hour_sin,-22.491589486843818
FKID005701,1,cause_enc,-288.5927149560209
FKID005701,2,hour_cos,-39.076804882939975
FKID005701,3,priority_enc,-27.964080003820293
FKID004246,1,corridor_enc,22.03168762970515
FKID004246,2,cause_enc,17.226621740547248
FKID004246,3,hotspot_z,-10.854307008426723
FKID004407,1,corridor_enc,-116.52633085886754
FKID004407,2,hour_cos,35.40666459249144
FKID004407,3,hotspot_z,-11.893079676774796
FKID002363,1,cause_enc,83.01081852056274
FKID002363,2,hour_cos,-60.63534458896678
FKID002363,3,corridor_enc,32.49503162399014
FKID007363,1,junction_enc,-32.48774710498126
FKID007363,2,hotspot_z,23.934827007696125
FKID007363,3,hour_cos,-23.006945226148794
FKID006350,1,corridor_enc,-98.8361312451243
FKID006350,2,hour_cos,34.452928921944356
FKID006350,3,hotspot_z,32.14841468580348
FKID005200,1,corridor_enc,-82.56527836754938
FKID005200,2,hour_cos,32.824454375849015
FKID005200,3,cause_enc,14.71115060716988
FKID006258,1,cause_enc,86.51997499793387
FKID006258,2,hotspot_z,-40.12667077861997
FKID006258,3,hotspot_intensity,18.313831333843357
FKID000744,1,corridor_enc,40.79352765140044
FKID000744,2,hour_sin,23.685719281177917
FKID000744,3,cause_enc,15.760547601383136
FKID006870,1,cause_enc,-175.5739697577401
FKID006870,2,corridor_enc,-113.01501703970064
FKID006870,3,hour_sin,25.767921734183908
FKID004433,1,closure_int,96.67055491083184
FKID004433,2,hour_sin,-31.67319054975635
FKID004433,3,hotspot_intensity,-13.590269362305557
FKID003162,1,hour_cos,30.270708804228555
FKID003162,2,cause_enc,23.87951339996777
FKID003162,3,hotspot_z,-13.683865220858085
FKID003581,1,corridor_enc,18.982605588154403
FKID003581,2,cause_enc,15.402871164111515
FKID003581,3,hotspot_z,-10.913444611115722
FKID003865,1,hour_cos,-56.74830335829131
