event_id,tail_risk_prob_raw,tail_risk_prob
FKID005760,0.0988853298146467,0.02857142857142857
FKID005197,0.125378073165455,0.02857142857142857
FKID005765,0.3309244142248293,0.24367816091954023
FKID005767,0.2464120369713972,0.24367816091954023
FKID005770,0.18252393816186543,0.24299065420560748
FKID005771,0.3593313850425433,0.24367816091954023
FKID005198,0.28229425504113154,0.24367816091954023
FKID005772,0.3191487364782199,0.24367816091954023
FKID005773,0.3191487364782199,0.24367816091954023
FKID004401,0.9014488970069269,1.0
FKID005775,0.17967902275136377,0.24299065420560748
FKID005778,0.1578174385493299,0.24299065420560748
FKID005199,0.2765439557435123,0.24367816091954023
FKID005779,0.1578174385493299,0.24299065420560748
FKID005781,0.25156871347417026,0.24367816091954023
FKID005200,0.31335121463393306,0.24367816091954023
FKID005782,0.5578735914743392,0.5454545454545454
FKID004410,0.24921184748814407,0.24367816091954023
FKID004406,0.8916519445063386,1.0
FKID005786,0.23670268904776723,0.24367816091954023
FKID005787,0.4224946333505481,0.24367816091954023
FKID005788,0.3342384222716606,0.24367816091954023
FKID005201,0.27648011291911,0.24367816091954023
FKID005791,0.20462608365046636,0.24299065420560748
FKID005792,0.1313202817775919,0.02857142857142857
FKID005795,0.14933106150132225,0.24299065420560748
FKID005807,0.23529870723187024,0.24367816091954023
FKID005809,0.18500457079435423,0.24299065420560748
FKID005811,0.09774400388491289,0.02857142857142857
FKID005202,0.23730560368355522,0.24367816091954023
FKID005812,0.2815237067900335,0.24367816091954023
FKID005813,0.2450022084677655,0.24367816091954023
FKID005814,0.15690525052342172,0.24299065420560748
FKID000002,0.8636434750103379,1.0
FKID004433,0.20820584722181404,0.24299065420560748
FKID005823,0.2563039449772794,0.24367816091954023
FKID005825,0.5139822984640862,0.25
FKID004440,0.37435024217158475,0.24367816091954023
FKID005827,0.24622202391951156,0.24367816091954023
FKID005828,0.202371689342956,0.24299065420560748
FKID005831,0.3491615492367369,0.24367816091954023
FKID004444,0.32064393349960973,0.24367816091954023
FKID005836,0.0739843094604687,0.014035087719298246
FKID005837,0.0739843094604687,0.014035087719298246
FKID005838,0.3457622230790958,0.24367816091954023
FKID005839,0.23288655127303362,0.24367816091954023
FKID005204,0.23491475811470444,0.24367816091954023
FKID005842,0.2272322624675172,0.24367816091954023
FKID005844,0.031206315592718564,0.0
FKID005845,0.14872590899408586,0.24299065420560748
FKID004467,0.2649695335095416,0.24367816091954023
FKID005852,0.033831930349911346,0.0
FKID005855,0.13351397853087513,0.24299065420560748
FKID005856,0.12749155656491998,0.02857142857142857
FKID005857,0.12749155656491998,0.02857142857142857
FKID005860,0.12158958648017301,0.02857142857142857
FKID004490,0.14625803499629778,0.24299065420560748
FKID004492,0.8974833026658866,1.0
FKID005862,0.18439112314354145,0.24299065420560748
FKID004495,0.8960899172596573,1.0
FKID005205,0.05840429058176367,0.014035087719298246
FKID005206,0.33545086218138376,0.24367816091954023
FKID004497,0.25712633340163094,0.24367816091954023
FKID005865,0.15025988406026458,0.24299065420560748
FKID004499,0.10701828885868785,0.02857142857142857
