row_index,top_feature,top_shap,prediction_driver_rank
841,trust_score,1.4663286285033956,1
1193,event_cause,-0.4990331447403201,1
1066,trust_score,1.041317836075367,1
213,event_cause,-0.5920688844345111,1
211,event_cause,-0.5879247308549217,1
796,event_cause,-0.5724442365034339,1
1139,asof_p80_duration,-0.3337907618241545,1
1522,event_cause,0.5105626002343157,1
550,event_cause,-0.5592262760324408,1
1411,event_cause,0.5608092516051943,1
1320,event_cause,-0.5988994792197601,1
2162,event_cause,1.4650059370000055,1
1287,trust_score,1.688365774295273,1
1817,event_cause,-0.5198102912148469,1
1707,event_cause,-0.49275814622955316,1
890,trust_score,-0.3529230382416884,1
1803,event_cause,-0.6221185587799135,1
1574,event_cause,0.4669838569629346,1
1853,event_cause,-0.518386850168844,1
508,event_cause,-0.6075866799061391,1
1897,event_cause,0.5224206258008176,1
1855,event_cause,-0.6411168635908903,1
173,trust_score,-0.41676023722542926,1
1717,event_cause,-0.5631845278045864,1
81,event_cause,-0.5614275290380837,1
370,event_cause,-0.449434891803663,1
397,trust_score,-0.42708571440876725,1
2161,trust_score,-0.42410311132287426,1
1293,event_cause,-0.5370793441256559,1
206,event_cause,-0.42306010604631156,1
814,event_cause,1.5034591086185054,1
959,event_cause,-0.5491398937580598,1
431,trust_score,-0.43578627440079143,1
1745,event_cause,1.5997605645334985,1
1063,event_cause,-0.6143276068353537,1
956,event_cause,-0.6126898747149848,1
1562,event_cause,0.7504435715930604,1
2056,duration_anomaly,1.302439479876381,1
1987,event_cause,0.573344898871207,1
662,event_cause,-0.5626808345416855,1
739,event_cause,1.5170843925676203,1
396,event_cause,-0.5776567056800941,1
1172,event_cause,-0.46548915017890874,1
2015,event_cause,-0.548328084636013,1
298,event_cause,-0.5746007240733569,1
152,event_cause,-0.4464756827771179,1
1603,trust_score,1.198866486088607,1
1839,event_cause,-0.5782658614418092,1
1054,event_cause,-0.6269825207418619,1
137,event_cause,-0.5293320859290744,1
571,trust_score,-0.43212203672151367,1
998,event_cause,0.746146432722954,1
721,event_cause,-0.5553972859042262,1
1657,event_cause,-0.6480389521057591,1
649,mnar_predicted_prob,-0.6085753049440347,1
2365,duration_anomaly,1.228978754327859,1
1847,event_cause,-0.5755190789913167,1
321,event_cause,-0.4582340635903635,1
1455,event_cause,-0.6067435046001028,1
1067,trust_score,2.2504370480068325,1
1682,event_cause,-0.5621645439800415,1
1631,event_cause,-0.5579873666601208,1
1099,event_cause,-0.4967596008957705,1
1905,event_cause,-0.5324489713514855,1
663,event_cause,-0.5636660865383343,1
252,event_cause,-0.5802662017936924,1
98,trust_score,1.8553448997452597,1
825,event_cause,1.6543055673409013,1
324,event_cause,-0.49484216776633827,1
1481,event_cause,-0.6081681551218153,1
