event_cause,tau_p75_min,global_fallback_tau
accident,65.81926039166666,432.4151020416666
congestion,94.66154302916667,432.4151020416666
construction,4287.345116666667,432.4151020416666
debris,432.4151020416666,432.4151020416666
others,11745.665395570833,432.4151020416666
pot_holes,72290.59145953335,432.4151020416666
procession,120.53714596666666,432.4151020416666
protest,10806.6718,432.4151020416666
public_event,1180.4300458333335,432.4151020416666
road_conditions,35251.51731858333,432.4151020416666
test_demo,432.4151020416666,432.4151020416666
tree_fall,4471.575429166667,432.4151020416666
vehicle_breakdown,72.79449447083333,432.4151020416666
vip_movement,432.4151020416666,432.4151020416666
water_logging,58094.506479983334,432.4151020416666
