event_id,p_gt_60,p_gt_120,p_gt_240
FKID000001,0.4719484182057172,0.3261538013209502,0.2030589713105284
FKID000003,0.600657655058465,0.45020790635194063,0.3066663786624697
FKID000004,0.518213480509661,0.36899528968318496,0.2373968040793397
FKID000010,0.5930627300197995,0.44245206875861276,0.2998120888374217
FKID000018,0.6004588094652985,0.45000410894504694,0.30648561635859817
FKID000020,0.5787462333019311,0.4279880601486069,0.2871654773499701
FKID000021,0.5695298530185502,0.41878274761312506,0.2792085368449406
FKID000025,0.4976729553891981,0.34974134004042934,0.22177725381075897
FKID000028,0.5609573346097634,0.41029391971400975,0.27193382086167006
FKID000033,0.6004588094652985,0.45000410894504694,0.30648561635859817
FKID000040,0.590869539336154,0.4402231414932426,0.2978517005569705
FKID000041,0.5303702796053822,0.3805696068223978,0.246933609497079
FKID000047,0.5618093628147951,0.4111344888216958,0.2726514820042286
FKID000048,0.5433920650111077,0.39311757276336223,0.2573978636594252
FKID000049,0.5433920650111077,0.39311757276336223,0.2573978636594252
FKID000052,0.5433920650111077,0.39311757276336223,0.2573978636594252
FKID000053,0.5247726884672189,0.37522352843625706,0.24251488387156184
FKID000055,0.5639976157057418,0.41329648018102216,0.27450005705733593
FKID000057,0.5639976157057418,0.41329648018102216,0.27450005705733593
FKID000058,0.5433920650111077,0.39311757276336223,0.2573978636594252
FKID000059,0.5433920650111077,0.39311757276336223,0.2573978636594252
FKID000060,0.5433920650111077,0.39311757276336223,0.2573978636594252
FKID000061,0.5072639441761135,0.35868468171256995,0.2289944052069641
FKID000063,0.5466435375060639,0.396275230687283,0.26005171723449116
FKID000066,0.5823698156619734,0.4316299151189219,0.2903331050806346
FKID000069,0.4803351597736878,0.33378033637362786,0.20906089031545327
FKID000070,0.4803351597736878,0.33378033637362786,0.20906089031545327
FKID000071,0.5198050191065874,0.3705029410898889,0.2386327837063167
FKID000072,0.4920998925933945,0.344582034468489,0.21764377119493217
FKID000076,0.5823698156619734,0.4316299151189219,0.2903331050806346
FKID000080,0.5823698156619734,0.4316299151189219,0.2903331050806346
