event_id,start_local,zone,t_hours,hawkes_intensity_asof,split
FKID005760,2023-11-09 19:24:48.154000,Central Zone 1,0.0,0.034502,train
FKID005762,2023-11-09 19:28:05.033000,Central Zone 2,0.05468861111111111,0.415403,train
FKID005761,2023-11-09 19:28:31.579000,Central Zone 2,0.06206250000000001,0.589404,train
FKID005197,2023-11-09 20:51:36.296000,South Zone 1,1.446706111111111,0.040423,train
FKID005763,2023-11-09 21:21:43.780000,South Zone 2,1.948785,0.115387,train
FKID005764,2023-11-09 22:01:24.938000,West Zone 2,2.6102177777777777,0.137919,train
FKID005765,2023-11-09 22:10:51.914000,Central Zone 2,2.7677111111111112,0.198464,train
FKID005766,2023-11-09 22:19:50.287000,Central Zone 2,2.9172591666666667,0.394274,train
FKID005767,2023-11-09 22:35:52.555000,Central Zone 2,3.1845558333333335,0.54079,train
FKID004399,2023-11-09 23:16:45.989000,West Zone 2,3.8660652777777775,0.180261,train
FKID005768,2023-11-10 00:20:36.040000,West Zone 1,4.929968333333333,0.162741,train
FKID005769,2023-11-10 00:29:20.840000,North Zone 2,5.075746111111112,0.127029,train
FKID005770,2023-11-10 00:31:14.562000,Central Zone 2,5.107335555555555,0.346267,train
FKID005771,2023-11-10 00:56:37.499000,Central Zone 1,5.530373611111111,0.173972,train
FKID005198,2023-11-10 01:22:07.058000,North Zone 1,5.955251111111111,0.173317,train
FKID005772,2023-11-10 01:33:08.127000,West Zone 2,6.13888138888889,0.168767,train
FKID005773,2023-11-10 01:34:33.186000,West Zone 2,6.162508888888889,0.381834,train
FKID005774,2023-11-10 01:42:30.011000,Central Zone 2,6.294960277777777,0.296831,train
FKID004401,2023-11-10 02:16:04.710000,East Zone 1,6.854598888888889,0.078261,train
FKID005775,2023-11-10 03:13:04.389000,West Zone 2,7.804509722222222,0.191581,train
FKID005777,2023-11-10 03:14:19.546000,Central Zone 2,7.825386666666667,0.203967,train
FKID005778,2023-11-10 03:21:00.257000,West Zone 1,7.936695277777778,0.341464,train
FKID005199,2023-11-10 03:34:33.419000,North Zone 2,8.16257361111111,0.213541,train
FKID005779,2023-11-10 03:36:34.159000,West Zone 1,8.1961125,0.442077,train
FKID005780,2023-11-10 05:34:31.666000,North Zone 1,10.162086666666667,0.09913,train
FKID005781,2023-11-10 06:05:28.736000,South Zone 1,10.677939444444444,0.028001,train
FKID005200,2023-11-10 06:06:31.253000,North Zone 1,10.695305277777779,0.21407,train
FKID005782,2023-11-10 06:42:32.617000,Central Zone 2,11.295684166666668,0.147459,train
FKID004410,2023-11-10 07:33:05.108000,East Zone 1,12.138042777777777,0.069524,train
FKID004406,2023-11-10 07:33:31.549000,South Zone 1,12.145387499999998,0.134158,train
FKID005783,2023-11-10 07:35:25.308000,West Zone 2,12.176987222222223,0.139934,train
FKID005784,2023-11-10 07:36:58.950000,West Zone 2,12.202998888888889,0.442983,train
FKID005785,2023-11-10 07:46:54.764000,West Zone 1,12.368502777777778,0.556509,train
FKID005787,2023-11-10 09:21:45.811000,South Zone 1,13.949349166666666,0.082665,train
FKID005788,2023-11-10 19:23:34.823000,South Zone 2,23.979630277777776,0.048128,train
FKID005201,2023-11-10 19:28:39.194000,North Zone 2,24.064177777777775,0.108038,train
FKID005789,2023-11-10 19:29:38.367000,Central Zone 1,24.080614722222222,0.082792,train
