event_id,event_cause,corridor_fill,duration_min,log_duration,actual_high_impact,start_local,duration_p50,high_impact_prob,high_impact_prob_calibrated,retrieval_confidence,prior_period,feedback_period,log_pred_p50,log_residual,processed_at
FKID000003,tree_fall,Non-corridor,9465.174807333333,9.155480177159546,1,2024-03-07 23:26:55.061000+05:30,19777.185428003624,0.8151634772403437,1.0,0.307042630135124,Nov2023-Feb2024,Mar2024-Apr2024,9.892334863253861,0.7368546860943148,2026-06-19T10:34:30Z
FKID000010,water_logging,ORR East 2,9348.299649083334,9.143056715635945,0,2024-03-07 23:31:40.182000+05:30,1713.525081777895,0.0283361981768742,0.0,0.2291257336365464,Nov2023-Feb2024,Mar2024-Apr2024,7.446891401004423,1.6961653146315214,2026-06-19T10:34:30Z
FKID000018,tree_fall,Non-corridor,293.3450075,5.684752574229699,0,2024-03-08 01:09:29.764000+05:30,317.9717547318601,0.0391867872508711,0.0,0.4286202818385117,Nov2023-Feb2024,Mar2024-Apr2024,5.765102555704354,0.08034998147465533,2026-06-19T10:34:30Z
FKID000020,vehicle_breakdown,Hosur Road,27.2487523,3.3410492902454054,0,2024-03-08 00:55:04.302000+05:30,39.796866950800535,0.2237566389387246,0.241014799154334,0.2961397157941212,Nov2023-Feb2024,Mar2024-Apr2024,3.708605288040025,0.36755599779461967,2026-06-19T10:34:30Z
FKID000021,tree_fall,Non-corridor,2928.5208131000004,7.982594143619104,0,2024-03-08 01:15:16.034000+05:30,235.51845541844824,0.048612091874927,0.0158730158730158,0.3531309106624996,Nov2023-Feb2024,Mar2024-Apr2024,5.466026240483345,2.5165679031357593,2026-06-19T10:34:30Z
FKID000025,tree_fall,Non-corridor,843.3240253,6.738536337151205,0,2024-03-07 11:39:19.361000+05:30,220.0286829385427,0.0456499558199667,0.0,0.3902447217183654,Nov2023-Feb2024,Mar2024-Apr2024,5.398292480148371,1.3402438570028332,2026-06-19T10:34:30Z
FKID000033,tree_fall,Non-corridor,2907.6902057166667,7.975458157711326,0,2024-03-08 01:36:03.523000+05:30,317.9717547318601,0.0391867872508711,0.0,0.4286202818385117,Nov2023-Feb2024,Mar2024-Apr2024,5.765102555704354,2.210355602006972,2026-06-19T10:34:30Z
FKID000041,others,Bellary Road 1,106.41915116666668,4.6767384824414995,0,2024-03-08 01:50:31.140000+05:30,53.289794542972686,0.0322880825552393,0.0,0.1831141337906833,Nov2023-Feb2024,Mar2024-Apr2024,3.9943362634742563,0.6824022189672432,2026-06-19T10:34:30Z
FKID000047,others,Tumkur Road,133.52983253333335,4.901785977669006,0,2024-03-08 01:57:15.443000+05:30,654.0285043243842,0.0250020492414623,0.0,0.2926408461216654,Nov2023-Feb2024,Mar2024-Apr2024,6.484678752740864,1.5828927750718584,2026-06-19T10:34:30Z
FKID000048,tree_fall,Bellary Road 1,1829.3005564666666,7.512235470856175,0,2024-03-08 02:11:41.999000+05:30,213.54198656663448,0.0371651194872874,0.0,0.2893945526341734,Nov2023-Feb2024,Mar2024-Apr2024,5.368505460782582,2.143730010073593,2026-06-19T10:34:30Z
FKID000058,tree_fall,Bellary Road 1,1819.0784875333334,7.5066349041592995,0,2024-03-08 02:21:39.532000+05:30,213.54198656663448,0.0371651194872874,0.0,0.2893945526341734,Nov2023-Feb2024,Mar2024-Apr2024,5.368505460782582,2.1381294433767177,2026-06-19T10:34:30Z
FKID000059,tree_fall,Bellary Road 1,1823.1111353833332,7.508848098264627,0,2024-03-08 02:17:40.640000+05:30,213.54198656663448,0.0371651194872874,0.0,0.2893945526341734,Nov2023-Feb2024,Mar2024-Apr2024,5.368505460782582,2.1403426374820453,2026-06-19T10:34:30Z
FKID000060,tree_fall,Bellary Road 1,1825.6380844833334,7.510232443970876,0,2024-03-08 02:15:19.752000+05:30,213.54198656663448,0.0371651194872874,0.0,0.2893945526341734,Nov2023-Feb2024,Mar2024-Apr2024,5.368505460782582,2.1417269831882946,2026-06-19T10:34:30Z
FKID000062,tree_fall,Non-corridor,22124.802723566667,10.00449975050913,1,2024-03-08 02:23:37.293000+05:30,25526.55921419767,0.8939816082408166,1.0,0.3606970286760499,Nov2023-Feb2024,Mar2024-Apr2024,10.147513901050846,0.14301415054171684,2026-06-19T10:34:30Z
FKID000066,tree_fall,Non-corridor,321.23818236666665,5.775290968894462,0,2024-03-08 02:28:06.297000+05:30,309.70670113976723,0.0372296861437212,0.0,0.4368333272795516,Nov2023-Feb2024,Mar2024-Apr2024,5.738849384044652,0.036441584849809416,2026-06-19T10:34:30Z
FKID000076,pot_holes,Non-corridor,5754.0936329333335,8.65784059086435,0,2024-03-08 02:41:51.734000+05:30,3848.033704881345,0.0235446327947173,0.0,0.4368333272795516,Nov2023-Feb2024,Mar2024-Apr2024,8.255577410034531,0.40226318082981827,2026-06-19T10:34:30Z
FKID000080,others,Non-corridor,15.88912515,2.8266699325569467,0,2024-03-08 02:55:26.425000+05:30,68.76041146950529,0.033869996742739,0.0,0.4368333272795516,Nov2023-Feb2024,Mar2024-Apr2024,4.245066677942063,1.4183967453851163,2026-06-19T10:34:30Z
FKID000081,tree_fall,Non-corridor,116.8119772,4.769089940072802,0,2024-03-08 02:47:00.312000+05:30,309.70670113976723,0.0372296861437212,0.0,0.4368333272795516,Nov2023-Feb2024,Mar2024-Apr2024,5.738849384044652,0.9697594439718502,2026-06-19T10:34:30Z
FKID000082,construction,ORR East 2,762.4895166666666,6.6378993939379205,0,2024-03-08 02:53:16.629000+05:30,682.5651038621745,0.0181267630085327,0.0,0.2893945526341734,Nov2023-Feb2024,Mar2024-Apr2024,6.527321902340708,0.11057749159721286,2026-06-19T10:34:30Z
FKID000083,others,Mysore Road,13265.728999266667,9.493014601030568,1,2024-03-08 02:44:45.233000+05:30,26101.116696902733,0.7918760706619828,1.0,0.2410594291110799,Nov2023-Feb2024,Mar2024-Apr2024,10.169771689520587,0.6767570884900191,2026-06-19T10:34:30Z
FKID000084,others,Non-corridor,17229.866743983333,9.75445763260866,1,2024-03-08 02:58:44.841000+05:30,10022.82834536923,0.5603256700484947,0.4347826086956521,0.4368333272795516,Nov2023-Feb2024,Mar2024-Apr2024,9.212720372064679,0.5417372605439805,2026-06-19T10:34:30Z
FKID000085,pot_holes,Non-corridor,44592.990813649994,10.705354393810609,0,2024-03-08 02:55:14.206000+05:30,3848.033704881345,0.0235446327947173,0.0,0.4368333272795516,Nov2023-Feb2024,Mar2024-Apr2024,8.255577410034531,2.4497769837760774,2026-06-19T10:34:30Z
FKID000088,vehicle_breakdown,ORR North 1,74.82553706666666,4.328435136525711,1,2024-03-08 03:05:50.715000+05:30,35.06476166230654,0.1963956742725458,0.241014799154334,0.2913917930121009,Nov2023-Feb2024,Mar2024-Apr2024,3.5853162573744353,0.7431188791512762,2026-06-19T10:34:30Z
FKID000095,tree_fall,Non-corridor,8.620181266666666,2.2638631071889366,0,2024-03-08 03:17:02.800000+05:30,310.96331121031426,0.0367032089798023,0.0,0.4378135323155007,Nov2023-Feb2024,Mar2024-Apr2024,5.742885588620335,3.4790224814313984,2026-06-19T10:34:30Z
FKID000099,tree_fall,Non-corridor,8761.173063133332,9.078199219734746,1,2024-03-08 03:07:11.187000+05:30,10488.65395557066,0.6842384474918627,0.8181818181818182,0.3676318989329776,Nov2023-Feb2024,Mar2024-Apr2024,9.258144712816737,0.17994549308199126,2026-06-19T10:34:30Z
FKID000100,tree_fall,Mysore Road,13245.791290366667,9.491510635322483,1,2024-03-08 03:04:37.863000+05:30,13888.7595904659,0.8570240243249779,1.0,0.2425896634646297,Nov2023-Feb2024,Mar2024-Apr2024,9.538907127496795,0.047396492174312854,2026-06-19T10:34:30Z
FKID000109,tree_fall,Mysore Road,13203.4163744,9.488306626435305,1,2024-03-08 03:46:53.889000+05:30,6124.769323729211,0.6271871962903577,0.8181818181818182,0.3555130173981176,Nov2023-Feb2024,Mar2024-Apr2024,8.720259631399578,0.7680469950357267,2026-06-19T10:34:30Z
FKID000110,tree_fall,Non-corridor,13212.042736283332,9.488959706820802,1,2024-03-08 03:38:18.693000+05:30,14077.000726662063,0.6680656584028661,0.8181818181818182,0.4378135323155007,Nov2023-Feb2024,Mar2024-Apr2024,9.55236862578493,0.06340891896412693,2026-06-19T10:34:30Z
FKID000113,construction,Bellary Road 1,545.3734030166667,6.303302630308773,0,2024-03-08 04:10:56.720000+05:30,227.44965083729576,0.0374299243504456,0.0,0.2907859824193665,Nov2023-Feb2024,Mar2024-Apr2024,5.4313158396093195,0.8719867906994532,2026-06-19T10:34:30Z
FKID000122,tree_fall,Non-corridor,61.79462865,4.1398695387652085,0,2024-03-08 04:36:49.704000+05:30,231.4276063528139,0.050432417731624,0.0158730158730158,0.3680500046888608,Nov2023-Feb2024,Mar2024-Apr2024,5.4485788060160125,1.308709267250804,2026-06-19T10:34:30Z
FKID000142,water_logging,ORR East 1,49.972616783333336,3.9312885627110483,0,2024-03-08 04:47:27.277000+05:30,2120.3621595729232,0.0257896205167099,0.0,0.2907859824193665,Nov2023-Feb2024,Mar2024-Apr2024,7.659813689433692,3.728525126722644,2026-06-19T10:34:30Z
FKID000143,vehicle_breakdown,Mysore Road,111.6212591,4.724030499838563,1,2024-03-08 05:06:30.807000+05:30,36.11833720199298,0.2617245996653728,0.241014799154334,0.243488368053088,Nov2023-Feb2024,Mar2024-Apr2024,3.614111111709734,1.1099193881288292,2026-06-19T10:34:30Z
FKID000144,tree_fall,Mysore Road,13118.919869416666,9.481886954965455,1,2024-03-08 05:11:21.369000+05:30,13539.783173885196,0.8440303365430746,1.0,0.243488368053088,Nov2023-Feb2024,Mar2024-Apr2024,9.513461386291679,0.03157443132622362,2026-06-19T10:34:30Z
FKID000157,vehicle_breakdown,Hosur Road,52.83199456666667,3.9858679849547194,0,2024-03-08 05:30:08.664000+05:30,39.67308453653383,0.210058722687427,0.241014799154334,0.3275393847387394,Nov2023-Feb2024,Mar2024-Apr2024,3.7055665600855807,0.28030142486913867,2026-06-19T10:34:30Z
FKID000161,others,Non-corridor,81.46960444999999,4.4124297945442015,0,2024-03-08 06:19:05.768000+05:30,55.124813433727205,0.0350801086822098,0.0,0.4366138776893926,Nov2023-Feb2024,Mar2024-Apr2024,4.02757802193622,0.3848517726079814,2026-06-19T10:34:30Z
FKID000163,tree_fall,Non-corridor,178.15932105,5.1882754717025374,0,2024-03-08 05:58:29.411000+05:30,223.25606395325633,0.0505327591436395,0.0158730158730158,0.3678968740902877,Nov2023-Feb2024,Mar2024-Apr2024,5.412788541613465,0.22451306991092768,2026-06-19T10:34:30Z
FKID000172,vehicle_breakdown,Magadi Road,24.504338233333332,3.2388485644918434,0,2024-03-08 06:36:29.002000+05:30,39.123417709518286,0.2355029371305539,0.241014799154334,0.3596258289074923,Nov2023-Feb2024,Mar2024-Apr2024,3.691960146641941,0.4531115821500977,2026-06-19T10:34:30Z
FKID000174,tree_fall,Non-corridor,1228.0686473666667,7.114011964284948,0,2024-03-07 11:21:32.361000+05:30,233.75806687901144,0.0347854624008563,0.0,0.4361046045019098,Nov2023-Feb2024,Mar2024-Apr2024,5.458555481199813,1.6554564830851355,2026-06-19T10:34:30Z
FKID000185,vehicle_breakdown,Tumkur Road,36.504006333333336,3.624447762825409,0,2024-03-08 09:47:45.450000+05:30,44.527051144201245,0.1864594345667941,0.241014799154334,0.3163242557439297,Nov2023-Feb2024,Mar2024-Apr2024,3.818306679935366,0.19385891710995695,2026-06-19T10:34:30Z
FKID000186,vehicle_breakdown,Mysore Road,23.382822833333332,3.1938789021468645,0,2024-03-08 09:45:18.097000+05:30,35.84859242262003,0.2647088589155164,0.241014799154334,0.2392512472106542,Nov2023-Feb2024,Mar2024-Apr2024,3.6068174204192367,0.41293851827237216,2026-06-19T10:34:30Z
