event_id,event_cause,operational_risk_score,ors_percentile,operational_tier,ors_base,robustness_factor,reliability_factor,tail_risk_prob_z,fragility_signal_z,obi_signal_z,drift_score_z,novelty_score_z,critical_alert_indicator,duration_reliability,robustness_score,service_tier,in_layer5_flag,quality_factor,data_quality_flag,coverage_missing_signals,coverage_flag,contrib_tail_risk_prob_z,contrib_fragility_signal_z,contrib_obi_signal_z,contrib_drift_score_z,contrib_novelty_score_z,contrib_critical_alert_indicator,generated_at
FKID005760,others,30.704346124901974,0.2624356775300172,Normal,0.44227187275893043,1.0,0.8678017983985051,-311.87946428571547,6.750532109989306,-1.0338461374891517,5.016057579782021,1.4836847863120115,0.0,0.5593393279950172,,,False,0.8,flagged,0,False,-0.06449399656946826,0.024013722126929673,-0.07407804459691252,0.055403087478559175,0.020497427101200685,0.0,2026-06-20T01:47:21.561543+00:00
FKID005197,water_logging,37.05755392524107,0.4251000571755289,Normal,0.42789678944385,1.0,0.8660395412969997,-311.87946428571547,6.750532109989306,-1.0338461374891517,4.747235751033418,1.0859471405272036,0.0,0.5534651376566655,,,False,1.0,ok,0,False,-0.06449399656946826,0.024013722126929673,-0.07407804459691252,0.05360205831903945,0.012550028587764439,0.0,2026-06-20T01:47:21.561543+00:00
FKID005765,others,41.73227416358622,0.5543167524299599,Normal,0.6114036234761577,1.0,0.8532063059733732,1.0,0.6995004535998398,-1.0338461374891517,4.7337337906839725,2.176211445151783,0.0,0.5106876865779105,,,False,0.8,flagged,0,False,0.06123499142367067,0.0032590051457976003,-0.07407804459691252,0.05347341337907376,0.0316466552315609,0.0,2026-06-20T01:47:21.561543+00:00
FKID005767,vehicle_breakdown,53.15096699161274,0.801600914808462,Critical,0.6118721783654965,1.0,0.8686612804261789,1.0,6.750532109989306,-1.0338461374891517,5.020371875634692,0.9287644765906242,0.0,0.562204268087263,,,False,1.0,ok,0,False,0.06123499142367067,0.024013722126929673,-0.07407804459691252,0.05548885077186964,0.00920526014865638,0.0,2026-06-20T01:47:21.561543+00:00
FKID005770,vehicle_breakdown,35.36237466229884,0.37964551172098343,Normal,0.40064284401484496,1.0,0.8826408655632587,0.0,0.6995004535998398,-1.0338461374891517,2.4038415937229503,0.6074634105844086,0.0,0.6088028852108622,,,False,1.0,ok,0,False,-0.027444253859348195,0.0032590051457976003,-0.07407804459691252,0.029073756432247005,0.0020583190394511176,0.0,2026-06-20T01:47:21.561543+00:00
FKID005771,others,32.18980950281053,0.30074328187535737,Normal,0.47438992706898947,1.0,0.8481896343608821,1.0,-1.2801580512683193,-1.0338461374891517,5.700344355691272,2.104485437744701,0.0,0.493965447869607,,,False,0.8,flagged,0,False,0.06123499142367067,-0.09368210405946255,-0.07407804459691252,0.058790737564322466,0.030646083476272158,0.0,2026-06-20T01:47:21.561543+00:00
FKID005198,vehicle_breakdown,40.19956765791676,0.5111492281303602,Normal,0.4601511591197024,1.0,0.8736165684081078,1.0,-0.9533276377287646,-1.0338461374891517,4.095088591675519,0.8178365124129948,0.0,0.5787218946936925,,,False,1.0,ok,0,False,0.06123499142367067,-0.07012578616352201,-0.07407804459691252,0.04957118353344768,0.006775300171526589,0.0,2026-06-20T01:47:21.561543+00:00
FKID005772,others,39.062365065848084,0.4729845626072041,Normal,0.5736246574872887,1.0,0.8512178773171394,1.0,-0.0662165152642594,-1.0338461374891517,5.089766818629159,2.050487767366498,0.0,0.5040595910571313,,,False,0.8,flagged,0,False,0.06123499142367067,-0.023613493424814183,-0.07407804459691252,0.055981989708404796,0.02991709548313322,0.0,2026-06-20T01:47:21.561543+00:00
FKID005773,others,39.062365065848084,0.4729845626072041,Normal,0.5736246574872887,1.0,0.8512178773171394,1.0,-0.0662165152642594,-1.0338461374891517,5.089766818629159,2.050487767366498,0.0,0.5040595910571313,,,False,0.8,flagged,0,False,0.06123499142367067,-0.023613493424814183,-0.07407804459691252,0.055981989708404796,0.02991709548313322,0.0,2026-06-20T01:47:21.561543+00:00
FKID004401,road_conditions,25.759671262179396,0.16638078902229847,Normal,0.7748182115889958,0.6541342520625179,0.8470759579148845,1101.093750000004,6.750532109989306,-1.0338461374891517,11.119243567202428,3.322391692422598,0.0,0.4902531930496151,0.6917314958749643,normal,True,0.6000000000000001,flagged,0,False,0.14391080617495713,0.024013722126929673,-0.07407804459691252,0.06899656946826757,0.04311034877072613,0.0,2026-06-20T01:47:21.561543+00:00
FKID005775,vehicle_breakdown,35.499164847620655,0.38250428816466553,Normal,0.40222963136107803,1.0,0.8825596644259499,0.0,0.6995004535998398,-1.0338461374891517,2.4185877925966026,0.638125832352894,0.0,0.6085322147531662,,,False,1.0,ok,0,False,-0.027444253859348195,0.0032590051457976003,-0.07407804459691252,0.029202401372212694,0.0030303030303030277,0.0,2026-06-20T01:47:21.561543+00:00
FKID005778,vehicle_breakdown,32.67527647123725,0.31217838765008576,Normal,0.3708029752772528,1.0,0.8812031900986136,0.0,-0.0662165152642594,-1.0338461374891517,2.673637867926599,0.6469214525184068,0.0,0.6040106336620452,,,False,1.0,ok,0,False,-0.027444253859348195,-0.023613493424814183,-0.07407804459691252,0.033833619210977696,0.003173241852487141,0.0,2026-06-20T01:47:21.561543+00:00
FKID005199,vehicle_breakdown,45.37766233522302,0.6615208690680389,Elevated,0.5163856398283329,1.0,0.8787553106687546,1.0,-0.0475404916334278,-1.0338461374891517,3.134761690058101,0.6528299082548537,0.0,0.5958510355625153,,,False,1.0,ok,0,False,0.06123499142367067,-0.019039451114922813,-0.07407804459691252,0.03949399656946826,0.003316180674671243,0.0,2026-06-20T01:47:21.561543+00:00
FKID005779,vehicle_breakdown,32.77691195078761,0.3153230417381361,Normal,0.37200432772050135,1.0,0.8810895333296752,0.0,-0.0662165152642594,-1.0338461374891517,2.6946496103983817,0.6570337194798366,0.0,0.603631777765584,,,False,1.0,ok,0,False,-0.027444253859348195,-0.023613493424814183,-0.07407804459691252,0.03434819897084049,0.0035162950257289884,0.0,2026-06-20T01:47:21.561543+00:00
FKID005781,vehicle_breakdown,54.007355374270695,0.8127501429388222,Critical,0.6220863970127432,1.0,0.868164866385342,1.0,6.750532109989306,-1.0338461374891517,5.116451333194754,1.2397931568438303,0.0,0.5605495546178066,,,False,1.0,ok,0,False,0.06123499142367067,0.024013722126929673,-0.07407804459691252,0.05617495711835334,0.01572327044025157,0.0,2026-06-20T01:47:21.561543+00:00
FKID005200,vehicle_breakdown,37.240673760537504,0.429388221841052,Normal,0.42592442123961144,1.0,0.8743493423587256,1.0,-1.2988340748991507,-1.0338461374891517,3.963375313248068,0.9946060728566796,0.0,0.5811644745290853,,,False,1.0,ok,0,False,0.06123499142367067,-0.09574042309891367,-0.07407804459691252,0.04828473413379073,0.010548885077186966,0.0,2026-06-20T01:47:21.561543+00:00
FKID005782,debris,37.53377408048651,0.433390508862207,Normal,0.7401568371234918,1.0,0.8451761437111058,439.9431818181834,6.750532109989306,-1.0338461374891517,6.9001872150037205,2.706998719976285,0.0,0.4839204790370196,,,False,0.6000000000000001,flagged,0,False,0.12435677530017153,0.024013722126929673,-0.07407804459691252,0.06234991423670669,0.03782161234991424,0.0,2026-06-20T01:47:21.561543+00:00
FKID004410,vehicle_breakdown,54.269269961156084,0.8164665523156089,Critical,0.6255480524222765,1.0,0.8675475808934593,1.0,6.750532109989306,-1.0338461374891517,5.228465338455542,1.328361578654693,0.0,0.558491936311531,,,False,1.0,ok,0,False,0.06123499142367067,0.024013722126929673,-0.07407804459691252,0.05673241852487135,0.017624356775300175,0.0,2026-06-20T01:47:21.561543+00:00
FKID004406,pot_holes,32.527613716207426,0.30903373356203545,Normal,0.6377196193519491,1.0,0.8501022688011908,1101.093750000004,-1.1867779331141608,-1.0338461374891517,11.72201112465225,3.123216647159976,0.0,0.5003408960039692,,,False,0.6000000000000001,flagged,0,False,0.14391080617495713,-0.08650657518582047,-0.07407804459691252,0.06981132075471698,0.041109205260148655,0.0,2026-06-20T01:47:21.561543+00:00
FKID005786,vehicle_breakdown,54.28890836329859,0.8173241852487135,Critical,0.6260300635817132,1.0,0.8671933110160048,1.0,6.750532109989306,-1.0338461374891517,5.298566128442372,1.328361578654693,0.0,0.5573110367200163,,,False,1.0,ok,0,False,0.06123499142367067,0.024013722126929673,-0.07407804459691252,0.05707547169811321,0.017624356775300175,0.0,2026-06-20T01:47:21.561543+00:00
