event_id,service_tier,is_critical,officers_allocated,barricades_allocated,tow_trucks_allocated,qru_allocated,diversion_activated,effectiveness,p95_delay_optimized,p95_delay_no_resources,p95_delay_reduction_pct,site_cvar_90,robustness_score,duration_reliability,tail_risk_prob
FKID004401,normal,0,0,4,0,0,0,0.39999999999999986,88194.2445403256,146990.4075672093,39.99999999999972,94614.77976985471,0.6362638058950698,0.4902531930496151,1.0
FKID000002,normal,0,1,0,1,0,0,0.4224292773608355,112426.28431235133,194653.7106289394,42.242927736083345,124297.91920270328,0.4945608527263781,0.2653355958091057,1.0
FKID004492,normal,0,1,0,1,0,0,0.4224292773608355,107919.63252864988,186850.94015070485,42.242927736083324,108892.02192266106,0.5581900791407329,0.2622460253795743,1.0
FKID001592,normal,0,1,0,1,0,0,0.4224292773608354,101951.38402943757,176517.5761741846,42.24292773608331,104320.89724139431,0.6074235529712895,0.3010238103000637,1.0
FKID004531,normal,0,0,0,0,0,0,0.0,85279.61992384892,85279.61992384892,0.0,110649.89943854693,0.7586640662770585,0.5407883238853544,1.0
FKID005996,elevated,0,0,1,0,0,0,0.1,46487.42251941674,51652.69168824082,9.999999999999805,49644.49557070906,0.5369473529811102,0.4188443483262486,1.0
FKID006015,critical,1,4,1,0,2,0,0.7861702524861518,56318.60201506798,263380.5757611935,78.61702524861487,106138.81737595591,0.29636613843563864,0.3022843920176766,0.8421052631578947
FKID003897,normal,0,2,1,0,0,0,0.43346566059597874,138890.51322154934,245158.15469836906,43.346566059597706,198472.35748253862,0.45801888404934804,0.3918286586460587,1.0
FKID004806,normal,0,4,7,0,0,0,0.7861702524861519,48092.27523012764,224909.18962064938,78.61702524861484,76522.05188613778,0.522955240501835,0.5445576835139977,1.0
FKID004829,normal,0,4,1,0,2,0,0.7861702524861519,51296.56885427314,239894.44616891321,78.61702524861488,85299.97129331299,0.4774408062845764,0.3329688804415179,1.0
FKID005244,normal,0,0,0,0,0,0,0.0,51679.93954046593,51679.93954046593,0.0,108330.4580137281,0.6948769295302548,0.3825978948523327,1.0
FKID000923,elevated,0,1,0,1,0,0,0.4224292773608355,105367.48810961375,182432.18359155263,42.24292773608334,108235.78431447034,0.5194823190519956,0.4016234313853387,1.0
FKID006340,elevated,0,12,1,0,0,0,0.8998518904049067,43515.934563189716,434515.78606054623,89.98518904049047,1255553.9962812695,0.17970198457946301,0.3631455926852346,0.8421052631578947
FKID006361,emergency,0,4,1,0,2,0,0.786170252486152,38780.09761906184,181359.69419573102,78.61702524861478,85508.3194515071,0.3323966082331416,0.3466379990473955,1.0
FKID006514,elevated,0,0,1,0,0,0,0.1,61613.22341424072,68459.13712693413,9.999999999999854,80596.42300898125,0.42940522547608134,0.4135059181148774,1.0
FKID000316,critical,1,6,3,0,0,0,0.7719147464737057,86578.24811144847,379587.2235180145,77.19147464737037,107892.02937384839,0.34613076779703217,0.3524201911652639,1.0
FKID003911,elevated,0,1,0,1,0,0,0.4224292773608355,91692.51572074225,158755.47725438792,42.24292773608331,107066.02312940315,0.498033942149112,0.4185709547529487,1.0
FKID004711,normal,0,2,1,0,0,0,0.43346566059597874,99619.74085461386,175840.60475382858,43.346566059597635,156975.11740777682,0.4200949932676248,0.4327654454870332,1.0
FKID001133,elevated,0,1,0,1,0,0,0.4224292773608355,102845.91062524784,178066.35030823838,42.242927736083324,115961.17393647079,0.48587462840847595,0.3941256402551067,1.0
FKID005079,normal,0,2,1,0,0,0,0.43346566059597874,89580.64189839858,158120.40977539858,43.346566059597606,148899.49113733266,0.5249731774137008,0.4671576653580221,1.0
FKID000944,elevated,0,4,7,0,0,0,0.7861702524861519,95483.50443688974,446539.8549409315,78.61702524861502,207667.0885890922,0.38039703906990996,0.3772562198837524,1.0
FKID006955,critical,1,7,10,0,0,0,0.8998518904049067,403689.7887180301,4030927.6964905234,89.98518904049065,855221.9985840211,0.18364038323841397,0.3789497828116754,0.8421052631578947
FKID005137,normal,0,4,7,0,0,0,0.7861702524861519,64030.910468071525,299448.0946292318,78.61702524861492,100715.54048403604,0.5126636864450055,0.4167469082739704,1.0
FKID004125,critical,1,2,1,0,0,0,0.43346566059597874,116799.56103736995,206165.01580511418,43.34656605959767,175128.8397557839,0.36177882652917487,0.4002600718973374,1.0
FKID001125,critical,1,4,7,0,0,0,0.7861702524861519,86254.86309472714,403381.0267167859,78.617025248615,116656.86485653589,0.3352975451600969,0.3985786904659371,1.0
FKID007137,normal,0,4,0,0,0,0,0.5291143153005538,131101.55944104443,278414.83336815186,52.91143153005518,157259.7791076724,0.4248605867226941,0.4296821102914695,1.0
FKID007189,normal,0,8,0,0,0,0,0.7888769581508842,30387.717540201716,143933.68565577528,78.88769581508788,94658.69051660672,0.475069449024671,0.4443872985860647,1.0
FKID001646,normal,0,0,4,0,0,0,0.39999999999999997,126116.99570428336,210194.99284047223,39.9999999999998,128276.75449893158,0.5459229944950872,0.4056848994611063,1.0
FKID005593,normal,0,1,0,1,0,0,0.4224292773608358,188767.10238580455,326829.41670458653,42.24292773608346,296974.8839681566,0.4602677588619809,0.4421280641843303,1.0
FKID000129,elevated,0,9,0,0,0,0,0.8132373091334745,35487.01746720574,190011.27742675005,81.32373091334702,177710.26845836197,0.40526018378744233,0.4353287963476898,1.0
FKID005194,normal,0,1,0,1,0,0,0.4224292773608355,112449.46259036598,194693.84126074973,42.24292773608335,120709.94553740905,0.5761273378358839,0.4076365503297062,1.0
FKID001288,emergency,0,4,7,0,0,0,0.7861702524861519,116466.99109876639,544671.6018369882,78.61702524861504,165844.520799268,0.3019241623238313,0.3790771710749153,1.0
FKID001693,elevated,0,1,0,1,0,0,0.4224292773608355,105008.60727614252,181810.82101307675,42.24292773608333,152397.52985035072,0.4303893914226254,0.4000635926457191,1.0
FKID000022,critical,1,1,0,1,0,0,0.4224292773608354,135168.58099111074,234029.48884505156,42.24292773608336,136538.15748063027,0.4028320064404889,0.4074174212838157,1.0
FKID004519,normal,0,0,4,0,0,0,0.39999999999999986,94733.8977545001,157889.82959083345,39.99999999999974,97303.88453541479,0.6155428993157687,0.4945198487529509,1.0
FKID007660,emergency,0,2,1,0,0,0,0.4334656605959787,66718.35764207444,117765.77870330036,43.34656605959749,180996.03561599986,0.30124574049106406,0.4221908168014643,1.0
FKID004408,normal,0,1,0,1,0,0,0.42242927736083546,134633.05699777024,233102.28811906345,42.24292773608336,148033.5147808277,0.5282947769305383,0.4229049630681059,1.0
FKID000842,elevated,0,1,0,1,0,0,0.4224292773608355,189380.66230885446,327891.7280354764,42.24292773608344,263644.7065078618,0.36634910395355164,0.4538926491120535,1.0
FKID004694,normal,0,4,7,0,0,0,0.7861702524861519,36318.75535405099,169848.93718634217,78.61702524861474,75526.86514478053,0.505029017832053,0.4314588852409345,1.0
FKID004967,normal,0,0,1,0,1,0,0.40000000000000013,114721.87844688357,191203.13074480597,39.9999999999998,121565.63836293496,0.5396845229873642,0.4268663766454953,0.8421052631578947
FKID008103,normal,0,2,10,0,3,0,0.8998518904049067,209039.49621386494,2087303.465427635,89.98518904049062,523736.73560163577,0.3669119714140644,0.4223150730800641,0.8421052631578947
FKID000164,normal,0,1,0,1,0,0,0.4224292773608355,140702.5232203896,243610.8994193133,42.24292773608339,176146.1062158627,0.5151546851686928,0.4497782769188255,1.0
FKID000346,normal,0,4,7,0,0,0,0.7861702524861519,100358.07911032454,469336.3775488026,78.61702524861502,127085.96303960952,0.48346306156472063,0.4306132539693831,0.8421052631578947
FKID003103,normal,0,1,0,1,0,0,0.4224292773608355,103646.69390314804,179452.81822725115,42.24292773608333,150489.75254607535,0.4928341795759217,0.4128581926726906,0.8421052631578947
FKID001931,normal,0,7,1,0,0,0,0.764557157650277,36872.98899158823,156611.2124012574,76.45571576502721,92485.41331147068,0.5122917729010443,0.4696828107947042,1.0
FKID001932,normal,0,1,0,1,0,0,0.4224292773608355,138152.10871835036,239195.1380206307,42.24292773608338,227961.19483319824,0.45531647316822055,0.4696828107947042,1.0
FKID000528,emergency,0,0,3,0,0,0,0.30000000000000004,52072.42338760107,74389.17626800152,29.999999999999595,55906.095489301115,0.38224952524255285,0.4853832658299251,1.0
FKID000968,normal,0,0,0,0,0,0,0.0,62225.38468674801,62225.38468674801,0.0,78424.26404735178,0.7057072734193646,0.4877894873589212,1.0
FKID001489,normal,0,0,0,0,0,0,0.0,150692.01295978043,150692.01295978043,0.0,202858.7754602517,0.6116998773340463,0.4487913351319025,1.0
FKID003235,normal,0,0,0,0,0,0,0.0,56104.04067282843,56104.04067282843,0.0,98535.94911875585,0.6918309503621599,0.4951255813322048,1.0
