event_id,event_cause,duration_pred,duration_p50,high_impact_prob,high_impact_prob_calibrated,novelty_score,fragility_signal,obi_signal,retrieval_confidence,trust_score,ims_proxy,drift_score
FKID005760,others,146.27351434730338,265.6325170143805,0.07730532616330632,0.03773584905660377,-0.029276181949115965,13.31125594131283,0.0,0.0,1.0,0.0,82.61290765999743
FKID005197,water_logging,1489.6518722484593,1988.261129704984,0.08535081356849544,0.03773584905660377,-0.03695023169452594,13.31125594131283,0.0,0.0,1.0,0.0,80.17559415376313
FKID005765,others,14524.431200007177,9909.352891983164,0.4284865823047945,0.26666666666666666,-0.006238605684153353,3.5642704764323057,0.0,0.0,0.7,0.0,84.7556647630653
FKID005767,vehicle_breakdown,63.59050434222143,76.6460950745334,0.30873839413107257,0.26666666666666666,-0.039032708690917683,13.31125594131283,0.0,0.0,1.0,0.0,83.22958949601465
FKID005770,vehicle_breakdown,58.14912913004125,51.370882811318005,0.15788917727361707,0.24324324324324326,-0.053104250626102245,3.5642704764323057,0.0,0.0,1.0,0.0,60.065327789369235
FKID005771,others,11410.496069967712,10118.28253074109,0.3890318354581935,0.26666666666666666,-0.01026422292176754,0.4679349508165318,0.0,0.0,0.7,0.0,94.20636393936539
FKID005198,vehicle_breakdown,74.26859779005538,76.82940946624348,0.37410801198871124,0.26666666666666666,-0.05356341726372632,0.9756941527663854,0.0,0.0,1.0,0.0,77.83317529681717
FKID005772,others,13178.146987066599,10834.349489486292,0.6023309693692229,0.47619047619047616,-0.009902706660739113,2.3098065657326674,0.0,0.0,0.7,0.0,88.39607180078247
FKID005773,others,13178.146987066599,10834.349489486292,0.6023309693692229,0.47619047619047616,-0.009902706660739113,2.3098065657326674,0.0,0.0,0.7,0.0,88.39607180078247
FKID004401,road_conditions,84096.12225783414,138818.845367378,0.9155964506415948,1.0,0.0160680395529178,13.31125594131283,0.0,0.0,0.48999999999999994,0.0,151.54516529744484
FKID005775,vehicle_breakdown,54.875258194863704,49.05776250909525,0.1461779358268615,0.2,-0.053464925350052594,3.5642704764323057,0.0,0.0,1.0,0.0,60.201737370106414
FKID005778,vehicle_breakdown,48.63935854439627,42.5851255497384,0.12046687575073883,0.16666666666666666,-0.051847033563287626,2.3098065657326674,0.0,0.0,1.0,0.0,62.839201077051825
FKID005199,vehicle_breakdown,78.45093369716254,63.27985015458363,0.36195101367974614,0.26666666666666666,-0.04898318050492745,2.36954294243265,0.0,0.0,1.0,0.0,67.9717906551875
FKID005779,vehicle_breakdown,50.934428608478555,42.47122955940915,0.12404809080214023,0.16666666666666666,-0.04976298980712829,2.3098065657326674,0.0,0.0,1.0,0.0,63.03633017702673
