junction,network_gi_star,p_sim,is_significant,severity_hotspot_score,kernel_bandwidth_h
HennurRd-DavisRdJunction,0.9045994367991765,0.0020000000949949026,True,70.10597376193141,1.0
"Narayanapura cross, Hegde nagar",0.895494154444196,0.0020000000949949026,True,32.90030236343658,1.0
MekhriCircle,-0.1397621112747299,0.0020000000949949026,True,747.0484175065194,1.0
AyyappaTempleJunc,-0.1495736464477889,0.0020000000949949026,True,629.4602540048987,1.0
YelhankaCircle,-0.16023173025577564,0.0020000000949949026,True,403.2306397661429,1.0
YeshwanthpuraCircle,-0.1643013852801928,0.0020000000949949026,True,411.5617578656687,1.0
HebbalFlyoverJunc,-0.1675437652338705,0.0020000000949949026,True,348.7990965568259,1.0
BagalurCrossJunc,-0.16784444571939056,0.0020000000949949026,True,355.1821857474685,1.0
KIMCO Junction,-0.17028385105689722,0.0020000000949949026,True,378.2872755298367,1.0
SantheCircle,-0.1707509616595773,0.0020000000949949026,True,302.0611834162734,1.0
PoliceCornerJunc,-0.17096016901919403,0.0020000000949949026,True,255.9720368368549,1.0
RajeshwariJunc,-0.1710951793200453,0.0020000000949949026,True,258.3542226440709,1.0
MysoreRd-RingRdJunc(Nayandanahallii),-0.17148409564102626,0.0020000000949949026,True,257.0344436144693,1.0
ArakereGateJunc,-0.17158162626901957,0.0020000000949949026,True,201.03758743288037,1.0
IndianExpressJunction,-0.1726830338112366,0.0020000000949949026,True,202.54080971756636,1.0
HesaraghattaJunction,-0.173181882689658,0.0020000000949949026,True,326.56704565462746,1.0
Shivajinagar(BRV)Junction,-0.1734805928937519,0.0020000000949949026,True,180.6923068312198,1.0
BigBazaarJunction(OldMadrasRd),-0.17441575161372141,0.0020000000949949026,True,220.1477022343534,1.0
YelhankaBypass,-0.17547074017594344,0.0020000000949949026,True,223.93475680235346,1.0
KodigehalliCross,-0.17673635849415287,0.0020000000949949026,True,124.69620772314852,1.0
JakkurCrossJunction,-0.17690212456126772,0.0020000000949949026,True,197.39401517762033,1.0
