event_id,event_cause,corridor,junction,T,survival_risk_score
FKID000001,vehicle_breakdown,ORR East 1,,10.37758925,0.5980146324201439
FKID000002,others,Non-corridor,UrvashiJunction,115117.99897515001,0.2016178458252026
FKID000003,tree_fall,Non-corridor,,9465.174807333333,0.2535453990383091
FKID000004,vehicle_breakdown,Non-corridor,LalbaghMainGateJunc,38.74983805,0.633965777806045
FKID000007,others,Non-corridor,,24202.316523816666,0.25922981747840756
FKID000010,water_logging,ORR East 2,,9348.299649083334,0.25829034032088916
FKID000013,others,ORR North 1,HebbalFlyoverJunc,103674.87131448333,0.19387461908462245
FKID000018,tree_fall,Non-corridor,,293.3450075,0.22192067776694546
FKID000020,vehicle_breakdown,Hosur Road,,27.2487523,0.6042310251728737
FKID000021,tree_fall,Non-corridor,,2928.5208131000004,0.25911054126523825
FKID000022,pot_holes,Non-corridor,28thMainJayanagarJunc,89112.40243683333,0.18833054229200918
FKID000025,tree_fall,Non-corridor,,843.3240253,0.23449091020667312
FKID000028,pot_holes,Non-corridor,,9.079776783333333,0.2820872423687141
FKID000033,tree_fall,Non-corridor,,2907.6902057166667,0.22192067776694546
FKID000040,construction,ORR East 1,,0.5525333333333333,0.2608600288037556
FKID000041,others,Bellary Road 1,,106.41915116666668,0.2481135973874974
FKID000047,others,Tumkur Road,,133.52983253333335,0.22160301090012124
FKID000048,tree_fall,Bellary Road 1,,1829.3005564666666,0.18648461253357307
FKID000049,vehicle_breakdown,ORR East 1,,55.541728516666666,0.5801231248038453
FKID000052,construction,ORR East 2,,729.7378,0.1094161931971539
FKID000053,vehicle_breakdown,Bellary Road 1,,69.32987603333332,0.5837080622109743
FKID000055,road_conditions,Non-corridor,,61.27697078333333,0.24830346829502614
FKID000057,vehicle_breakdown,Non-corridor,,36.41233746666667,0.6093958484402852
FKID000058,tree_fall,Bellary Road 1,,1819.0784875333334,0.18648461253357307
FKID000059,tree_fall,Bellary Road 1,,1823.1111353833332,0.18648461253357307
FKID000060,tree_fall,Bellary Road 1,,1825.6380844833334,0.18648461253357307
FKID000061,vehicle_breakdown,ORR East 1,,10.513486133333334,0.6128758008723894
FKID000062,tree_fall,Non-corridor,,22124.802723566667,0.26482570720679377
FKID000063,vehicle_breakdown,Non-corridor,,83.22766023333334,0.6347450914845068
FKID000066,tree_fall,Non-corridor,,321.23818236666665,0.22323822693866402
FKID000069,vehicle_breakdown,West of Chord Road,,44.18835605,0.7005650197342441
FKID000070,vehicle_breakdown,West of Chord Road,,41.797760616666665,0.7005650197342441
FKID000071,vehicle_breakdown,Non-corridor,,26.158530816666666,0.6155511659708159
FKID000072,pot_holes,Magadi Road,,8639.783111666668,0.22041803972877083
FKID000073,others,Non-corridor,,20609.415342416665,0.2573709215459924
FKID000076,pot_holes,Non-corridor,,5754.0936329333335,0.22387710727030008
FKID000080,others,Non-corridor,,15.88912515,0.22798435669414963
